ID_UNICO,area,w_px,valid_frac_interior,valid_frac_perimeter,w_px_seg0,w_px_seg1,w_px_seg2,w_px_seg3,w_px_seg4,w_px_seg5,w_len,w_len_seg0,w_len_seg1,w_len_seg2,w_len_seg3,w_len_seg4,w_len_seg5,w_px_segmean,w_len_segmean,w_ring
2978,0.7883,0.82162,1.0,1.0,0.9563,1.0,1.0,0.7892,0.9646,0.28087,0.83324,0.95954,1.0,1.0,0.78917,0.96752,0.28319,0.83183,0.83324,0.70237
2979,0.70884,0.69129,1.0,1.0,1.0,0.31751,0.28087,0.75773,0.7574,0.99517,0.68585,1.0,0.31909,0.28319,0.7584,0.75897,0.99544,0.68478,0.68585,0.7416
2980,0.91691,0.88445,1.0,1.0,0.71392,0.77286,1.0,1.0,0.77515,1.0,0.87768,0.7151,0.77721,1.0,1.0,0.77379,1.0,0.87699,0.87768,0.95461
2981,0.99221,0.97977,1.0,1.0,0.88144,1.0,1.0,1.0,1.0,1.0,0.98006,0.88034,1.0,1.0,1.0,1.0,1.0,0.98024,0.98006,0.99877
2982,0.9547,0.89187,1.0,1.0,0.78811,0.97059,0.92029,0.88144,0.9941,0.82126,0.89573,0.78575,0.96809,0.91909,0.88034,0.9943,0.82678,0.89597,0.89573,0.98025
2983,0.53057,0.58901,1.0,1.0,0.31959,0.82647,0.82126,0.92268,0.44248,0.21792,0.59326,0.31966,0.8245,0.82678,0.92365,0.44387,0.22108,0.59173,0.59326,0.45537
2984,0.41378,0.49736,1.0,1.0,0.63307,0.37353,0.58354,0.31959,0.49558,0.55422,0.49269,0.62051,0.37265,0.58689,0.31966,0.49459,0.56182,0.49325,0.49269,0.44862
2985,0.71559,0.78383,1.0,1.0,0.94057,0.87941,0.55422,0.53488,0.90882,0.91807,0.79098,0.9453,0.88319,0.56182,0.53333,0.90598,0.91624,0.78933,0.79098,0.68528
2986,0.50515,0.55888,1.0,1.0,0.44588,0.42183,0.34541,0.94057,0.58529,0.61111,0.55774,0.44615,0.42336,0.34017,0.9453,0.58348,0.60798,0.55835,0.55774,0.49744
2987,0.60647,0.49605,1.0,1.0,0.60207,0.28824,0.61111,0.56072,0.48235,0.39855,0.48908,0.59886,0.28832,0.60798,0.56011,0.48319,0.39601,0.49051,0.48908,0.61776
2988,0.6556,0.58568,1.0,1.0,0.54522,0.61176,0.42754,0.60207,0.73235,0.62802,0.58879,0.54473,0.60969,0.42222,0.59886,0.73105,0.62621,0.59116,0.58879,0.6604
2989,0.70547,0.70387,1.0,1.0,0.96632,0.51613,0.62802,0.52972,0.82059,0.75362,0.70313,0.96923,0.5151,0.62621,0.53162,0.82279,0.75385,0.7024,0.70313,0.7227
2990,0.57128,0.54346,1.0,1.0,0.29716,0.18182,0.74879,0.96632,0.66569,0.36867,0.53628,0.29174,0.17778,0.75214,0.96923,0.66553,0.36125,0.53808,0.53628,0.56686
2991,0.6723,0.50223,1.0,1.0,0.00998,0.57233,0.50495,0.95511,0.80818,0.2401,0.51586,0.00741,0.57322,0.50484,0.9584,0.81083,0.24046,0.51511,0.51586,0.77436
2992,0.02996,0.1193,1.0,1.0,0.00748,0.0,0.2401,0.3875,0.04101,0.0,0.11206,0.00684,0.0,0.24046,0.38519,0.03989,0.0,0.11268,0.11206,0.00836
2993,0.66373,0.45666,1.0,1.0,0.21446,0.65615,0.59158,0.00748,0.53628,0.7896,0.4661,0.21425,0.65869,0.59088,0.00684,0.53675,0.78917,0.46593,0.4661,0.72137
2994,0.2936,0.44861,1.0,1.0,0.2675,0.06289,0.7896,1.0,0.50473,0.0,0.43675,0.2661,0.06097,0.78917,1.0,0.50427,0.0,0.43745,0.43675,0.22982
2995,0.39051,0.20759,1.0,1.0,0.0,0.00629,0.72593,0.2675,0.19811,0.0,0.19991,0.0,0.00627,0.72821,0.2661,0.19886,0.0,0.19964,0.19991,0.53989
